Theon ,berates ,Lorren 
Ser Gregor ,speculates that the ,Brotherhood Without Banners 
Lord Rickard ,demands ,Jaime 
Ygritte ,says ,that Jon 
Quaithe ,knows ,that Jorah 
Quaithe ,warns ,Jorah 
Ygritte ,brings ,Jon Snow 
Ser Jorah Mormont ,advises ,Daenerys Targaryen 
Theon ,gives ,Dagmer 
Yara Greyjoy ,arrives ,at Winterfell 
Dagmer ,tells ,Theon 
Stannis ,tells ,Davos 
Arya ,gives ,Jaqen 
Catelyn ,has sent ,Brienne of Tarth 
Winterfell ,by turning ,Theon 
Baratheon ,is assassinated by the ,Shadow 
Lord Petyr Baelish ,accompanies the ,Tyrell 
Jon Snow ,joins ,Qhorin 
Littlefinger ,is awarded ,Harrenhal 
Loras Tyrell ,asks ,that Joffrey 
Jaime ,recognized ,by Stark 
Melisandre ,insists that the ,Lord of Light 
Melisandre ,tells ,Stannis 
Maester Luwin ,tells ,Theon 
Luwin ,suggests ,that Theon 
Dagmer ,knocks ,Theon 
Starks ,before asking ,Osha 
Ygritte ,gives ,Jon 
Catelyn Stark ,treats ,with King Renly 
Jon ,realizes ,that Jeor 
Samwell Tarly ,gives ,Gilly 
Catelyn ,warns ,Renly 
Catelyn ,is impressed ,with Brienne 
Arya ,is incapacitated ,by Polliver 
Lommy ,was ,Gendry 
Stannis ,uses ,Ser Davos 
Arya ,confides ,in Gendry 
Robb Stark ,sends ,Theon Greyjoy 
Arya ,asks ,Gendry 
Davos ,recruits the ,Lysene 
Rakharo ,from entering the ,Night Lands 
Samwell Tarly ,are repulsed ,by Craster 
Craster ,tells ,Jeor 
Mormont ,asks ,Jon 
Sansa Stark ,intercedes telling ,Joffrey 
that Melisandre ,is leading ,Stannis 
Cressen ,asks ,Davos Seaworth 
Stannis ,has received ,Ned Stark 
Stannis ,sees ,as Robb 
Barra ,is killed ,in Petyr 
Bronn ,drinks with the ,Lannister 
Joffrey ,berates ,Tyrion 
Bronn ,has been awaiting ,Tyrion 
Mandon ,slashes ,Tyrion 
Podrick Payne ,kills ,Ser Mandon 
Cersei ,has taken ,Tommen 
Shae ,tells ,Sansa 
Hound ,scares ,Sansa 
Cersei ,sits on the ,Iron Throne 
Qhorin ,gives ,Jon 
Theon ,tells ,Bran Stark 
Ser Rodrik Cassel ,is captured ,by Theon 
Dagmer Cleftjaw ,insists ,that Theon 
Tywin Lannister ,berates ,Ser Amory Lorch 
as Amory Lorch ,reaches ,Tywin 
as Cersei ,ignored both ,Tyrion 
Night Watch ,led ,by Qhorin Halfhand 
Hot Pie ,are taken ,by Ser Amory Lorch 
Lancel Lannister ,tells ,Sansa 
Ser Meryn ,punches ,Sansa 
Arya Stark Baelish ,lies about the ,Lannisters 
Catelyn ,insists ,that Robb 
Catelyn ,tells ,Petyr 
Ned Stark ,rejected ,Renly 
Stannis ,offers ,Renly 
Ser Davos ,rows ,Melisandre 
of Qarth ,opens ,for Daenerys 
Qarth ,is known as the ,Garden of Bones 
Khalasar ,are let ,into Qarth 
Ramsay Snow ,offered ,Robb Stark 
Sansa ,is ,Joffrey 
Small Council ,tenses waiting ,for Tywin 
Stannis ,is convinced ,by Melisandre 
Meera Reed ,tells ,Bran 
Bran ,asks ,Sam 
House Frey ,joins ,with House Tully 
Sam ,tells ,Gilly 
Sam ,tells ,Gilly 
Tormund ,restrains ,Ygritte 
Bran ,asks ,Osha 
Talisa ,is stabbed ,by Lame Lothar 
Arya ,gives ,Sandor 
Jon ,is brought ,before Mance Rayder 
Littlefinger ,offers ,Sansa 
Jon Snow ,is led ,by Ygritte 
that Jon ,killed ,Qhorin Halfhand 
that Jon ,killed ,Qhorin 
Night Watch ,camped at ,Craster Keep 
Cersei ,admonishes ,Margaery 
Davos ,feels ,that Melisandre 
Slaver Bay ,after leaving ,Qarth 
Unsullied ,barracks by the ,Unsullied 
Barristan ,saves ,Daenerys 
Orell ,tells ,Jon 
Daenerys ,that conquering ,Yunkai 
that Daenerys ,leave ,Yunkai 
Brotherhood ,for selling ,Gendry 
Margaery Tyrell ,consoles ,Sansa 
Tywin ,is surprised ,that Joffrey 
Brienne ,tells ,Jaime 
Jaime ,leaves ,Harrenhal 
Jaime ,asks ,that Bolton 
Locke ,is convinced ,Lord Selwyn 
Shae ,asks ,Tyrion Lannister 
Jaime Lannister ,provokes ,Brienne 
Ygritte ,is surprised ,that Jon 
Rast ,is annoyed ,that Sam 
Sam ,is upset ,that Grenn 
Mormont ,tells ,Sam 
Jojen ,explains ,that Bran 
Jojen ,confirms ,that Bran 
Bran ,says ,that Howland 
Jojen ,says ,that Howland 
Jojen ,confirms ,that Bran 
Sansa ,warns the ,Tyrells that Joffrey 
Lady Olenna ,insists ,that Sansa 
Shae ,sneaks ,into Tyrion Lannister 
Shae ,starts undressing ,Tyrion 
Robb ,leaves ,Roose 
Karstark ,maintains ,that unless Edmure 
Robb ,asks ,if Karstark 
Jon ,legitimized as a ,Stark 
Jaime ,insists ,that Renly 
that Renly ,loved ,Loras 
Jaime ,tells ,Brienne 
Brienne ,gives ,Jaime 
Locke ,has been tormenting ,Jaime 
Littlefinger ,has visited ,Sansa Stark 
Joffrey ,gives ,Margaery 
Olenna ,asks ,if Robert Baratheon 
Lord Mace Tyrell ,besieged ,Storm End 
Tyrion ,was captured by the ,Starks 
Winter ,is ,Coming 
Sansa ,is ,Robb 
Margaery Tyrell ,finds ,Sansa Stark 
Tyrell ,makes ,Sansa 
Hound ,is brought before the ,Brotherhood 
Gendry ,are kept hooded as ,Thoros of Myr 
Hound ,balks ,that Eddard 
about Robb Stark ,is ,that Robb 
Samwell Tarly ,visits ,Gilly 
Rast ,calls ,Craster 
Mormont ,restrains ,Rast 
Daenerys Targaryen ,arrives ,before Kraznys 
Daenerys ,calls the ,Unsullied 
Kraznys ,complains ,for Missandei 
Drogon ,burns ,Kraznys The Unsullied 
Tormund ,warns ,Jon 
Tormund ,tells ,Jon 
Ygritte ,tells ,Jon 
Ser Jorah Mormont ,tells ,Ser Barristan Selmy 
Barristan ,admits ,that Robert 
Jorah ,says ,that Barristan 
if Barristan ,knew ,that Jorah 
Jorah ,is relieved ,that Barristan 
while Jorah ,was defending ,Daenerys from Robert Baratheon 
Brynden Tully ,punches ,Karstark 
Robb ,executes ,Rickard 
Lord Rickard ,says ,that Robb 
Robb ,says ,Tywin Lannister 
Robb ,shows ,Talisa 
Roose ,is surprised ,that Jaime 
Bolton ,calls ,for Qyburn 
Brienne ,is ,in Harrenhal 
Jaime ,warned ,Aerys 
Nor ,did ,Aerys 
Mad King ,ordered ,Jaime 
Jaime ,speculates ,that King Aerys 
Jaime ,finished ,Aerys 
Hound ,vs ,Beric 
Beric ,calls upon the ,Lord of Light 
Targaryens ,built ,Dragonstone 
Tywin ,explains that the ,Tyrells 
Karstarks ,have cost ,Robb Stark 
Theon Greyjoy ,murdered ,Robb 
that Joffrey ,has made ,Sansa 
Tyrion ,was ,At 
that Tywin ,is the ,Hand 
Lord Varys ,finds ,Lord Petyr Baelish 
Anguy ,trains ,Arya Stark 
Melisandre ,says the ,Brotherhood 
that Melisandre ,has given the ,Brotherhood 
Bolton ,tells ,Jaime 
Jaime ,assumes ,that Brienne 
Wall ,after having fled ,Craster Keep 
Sam ,shows ,Gilly 
Ygritte ,strikes the ,Wall 
Orell ,decides ,that Tormund 
after Robert Baratheon ,killed ,Rhaegar 
Barristan ,says ,that Rhaegar 
Tywin ,says ,that Roose 
King Stannis Baratheon ,speaks ,with Melisandre 
Jaime ,warns ,Brienne 
Locke ,says ,that Jaime 
Sam ,slays a ,White Walker 
Sam ,suggests ,that Gilly 
Tyrion ,speaks ,with Sansa 
Yara ,see ,Theon 
Theon ,tells ,Yara 
Yara ,says ,Theon 
Ramsay ,allows ,Reek 
Lord Varys ,informs ,Tywin 
Hound ,has been spotted in the ,Riverlands 
Jaime ,has ,Tyrion 
Jaime ,asks ,Tywin 
Jaime ,speaks ,with Tyrion 
Sansa ,planned ,Joffrey 
Tywin ,scoffs ,at Tyrion 
Meereenese Great Masters ,crucified ,on Daenerys 
Ramsay Snow ,sends ,Reek 
Town ,has arrived ,at Castle Black 
Sam ,worries ,about Gilly 
As Ser Barristan Selmy ,watches the ,Unsullied 
Jorah ,spied ,on Daenerys 
that Daario Naharis ,has captured ,Meereen 
Cersei ,asks ,Oberyn 
though Tywin ,admits the ,Lannisters 
Brienne ,believes ,Sansa 
though Petyr ,has ,Sansa 
Lysa ,encourages ,Sansa 
Clegane ,disparages ,Arya 
Jon ,has ,Craster Keep 
Melisandre ,does speak ,with Shireen 
Roose Bolton ,arrives at the ,Dreadfort 
North ,following ,Robb Stark 
Roose ,dispatches ,Locke 
Reek ,suggests ,that Jon Snow 
Roose ,gives ,Ramsay 
that Bran Stark ,had been warging ,into Summer 
Jojen Reed ,clarifies ,that Summer 
Bran ,has ,Hodor 
Brienne ,presented ,before King Joffrey 
Great Sept of Baelor ,conducted by the ,High Septon 
if Joffrey ,is accusing ,Tyrion 
that Qhorin ,tricked ,Mance 
First Men ,entered ,Westeros 
Mance ,calls ,Jon 
Mance ,says that the ,Free Folk 
Jon ,says ,that Aemon 
Tormund ,asks ,if Jon 
Tormund ,says ,that Ygritte 
Raven ,says ,that Jojen 
Ser Barristan Selmy ,warns ,Daenerys 
Grey Worm ,reports ,that Drogon 
that Jaime ,helped ,Tyrion 
Brienne ,tells ,Arya 
Brienne ,of working for the ,Lannisters 
Arya ,into thinking ,that Brienne 
Sansa ,escaping ,with Ser Dontos Hollard 
whether Oberyn ,had helped ,Tyrion 
Stannis Baratheon ,learns ,of Joffrey 
at Castle Black ,after escaping ,Craster Keep 
Mance ,reaches ,Craster Keep 
Maester Aemon ,finds ,Sam 
Sam ,promises ,Gilly 
Sam ,brings ,Gilly 
that Alliser ,needs ,Janos 
Mag Mar Tun Doh Weg ,charges ,Castle Black 
Sam ,with releasing ,Ghost 
Styr ,picks ,Jon 
Night Watch ,have repelled ,Mance Rayder 
Sam ,tells ,Jon 
Ice ,held by the ,Lannisters since Eddard Stark 
Qyburn ,are ,in Cersei 
Qyburn ,asks ,Cersei 
Olenna ,are interrupted by ,Brienne of Tarth 
Brienne ,tells ,Margaery 
by Stannis ,following the ,Battle 
Brienne ,expects ,Jaime 
Styr ,suggests ,that Tormund 
Qhorin ,wanted ,Jon 
Slynt ,calls ,for Jon 
Arya ,takes ,Needle from Polliver 
Lommy ,by driving ,Needle 
Daenerys ,speaks ,with Missandei 
Ser Jorah ,tells ,Daenerys 
Tyrion ,is approached ,by Oberyn Martell 
Cersei ,showed ,Tyrion 
Oberyn ,tells ,Tyrion 
Cersei ,told ,Oberyn 
Oberyn ,tells ,Tyrion 
Daario ,dismisses the ,Second Sons 
Selyse ,speaks ,with Melisandre 
Sandor ,is ambushed ,by Biter 
Brienne ,is surprised ,because Arya 
Lysa Arryn ,is the ,Hound 
Sansa ,is summoned ,by Lysa 
Missandei ,teaches ,Grey Worm 
Alliser Thorne ,admonishes ,Jon 
Samwell Tarly ,is fretting ,about Gilly 
that Sam ,told ,Jon about Bran 
Locke ,brings ,Jon 
that Tyrion ,named ,Jaime 
Jaime ,tells ,Tyrion that Cersei 
Jaime ,is taking ,Tyrion 
Lady Olenna ,tells ,Margaery 
Margaery ,insists ,that Olenna 
Petyr Baelish ,of having ,Joffrey Baratheon 
Sansa ,defends ,Tyrion 
Baelish ,admits ,that Tyrion 
King Landing ,before ordering ,Rast 
Rast ,was taunting ,Ghost 
Sansa ,refuses ,Littlefinger 
Brynden Tully ,has recaptured ,Riverrun 
Jon ,from pursuing ,Littlefinger 
Podrick ,with securing ,Brynden 
in Valyria ,before establishing the ,Free City of Braavos 
Tyrion ,invites ,Kinvara 
that Daenerys ,is The ,Prince That Was Promised 
Euron ,admits killing ,Balon 
while Yara ,was commanding ,Ironborn 
Raven ,shows ,Bran 
Leaf ,about creating the ,White Walkers 
Raven ,tells ,Bran 
Bran ,is ,at Winterfell 
